a	0 a
chữm	ch uwm4
chữn	ch uwn4
chững	ch uwng4
chữu	ch uwu4
chự	ch uw5
chựa	ch uwa5
chực	ch uwc5
chựi	ch uwi5
chựm	ch uwm5
chựn	ch uwn5
chựng	ch uwng5
chựt	ch uwt5
chựu	ch uwu5
chỳ	ch y2
chỵ	ch y5
chỷ	ch y3
chỹ	ch y4
ciu	c iu
co	c o
coa	c oa
coai	c oai
coam	c oam
coan	c oan
coang	c oang
coanh	c oanh
coao	c oao
coay	c oay
coe	c oe
coem	c oem
coen	c oen
coeo	c oeo
coi	c oi
com	c om
con	c on
cong	c ong
coong	c oong
coà	c oa2
coài	c oai2
coàm	c oam2
coàn	c oan2
coàng	c oang2
coành	c oanh2
coào	c oao2
coày	c oay2
coá	c oa1
coác	c oac1
coách	c oach1
coái	c oai1
coám	c oam1
coán	c oan1
coáng	c oang1
coánh	c oanh1
coáo	c oao1
coáp	c oap1
coát	c oat1
coáy	c oay1
coã	c oa4
coãi	c oai4
coãm	c oam4
coãn	c oan4
coãng	c oang4
coãnh	c oanh4
coão	c oao4
coãy	c oay4
coè	c oe2
coèm	c oem2
coèn	c oen2
coèo	c oeo2
coé	c oe1
coém	c oem1
coén	c oen1
coéo	c oeo1
coét	c oet1
coòng	c oong2
coóc	c ooc1
coóng	c oong1
coõng	c oong4
coăm	c oawm
coăn	c oawn
coăng	c oawng
coạ	c oa5
coạc	c oac5
coạch	c oach5
coại	c oai5
coạm	c oam5
coạn	c oan5
coạng	c oang5
coạnh	c oanh5
coạo	c oao5
coạp	c oap5
coạt	c oat5
coạy	c oay5
coả	c oa3
coải	c oai3
coảm	c oam3
coản	c oan3
coảng	c oang3
coảnh	c oanh3
coảo	c oao3
coảy	c oay3
coắc	c oawc1
coắm	c oawm1
coắn	c oawn1
coắng	c oawng1
coắt	c oawt1
coằm	c oawm2
coằn	c oawn2
coằng	c oawng2
coẳm	c oawm3
coẳn	c oawn3
coẳng	c oawng3
coẵm	c oawm4
coẵn	c oawn4
coẵng	c oawng4
coặc	c oawc5
coặm	c oawm5
coặn	c oawn5
coặng	c oawng5
coặt	c oawt5
coẹ	c oe5
coẹm	c oem5
coẹn	c oen5
coẹo	c oeo5
coẹt	c oet5
coẻ	c oe3
coẻm	c oem3
coẻn	c oen3
coẻo	c oeo3
coẽ	c oe4
coẽm	c oem4
coẽn	c oen4
coẽo	c oeo4
coọc	c ooc5
coọng	c oong5
coỏng	c oong3
cu	c u
cua	c ua
cui	c ui
cum	c um
cun	c un
cung	c ung
cuy	c uy
cuya	c uya
cuyn	c uyn
cuynh	c uynh
cuyu	c uyu
cuyên	c uyeen
cuyến	c uyeen1
cuyết	c uyeet1
cuyền	c uyeen2
cuyển	c uyeen3
cuyễn	c uyeen4
cuyện	c uyeen5
cuyệt	c uyeet5
cuân	c uaan
cuâng	c uaang
cuây	c uaay
cuê	c uee
cuênh	c ueenh
cuôi	c uobi
cuôm	c uobm
cuôn	c uobn
cuông	c uobng
cuý	c uy1
cuýa	c uya1
cuých	c uych1
cuýn	c uyn1
cuýnh	c uynh1
cuýp	c uyp1
cuýt	c uyt1
cuýu	c uyu1
cuơ	c uow
cuấn	c uaan1
cuấng	c uaang1
cuất	c uaat1
cuấy	c uaay1
cuần	c uaan2
cuầng	c uaang2
cuầy	c uaay2
cuẩn	c uaan3
cuẩng	c uaang3
cuẩy	c uaay3
cuẫn	c uaan4
cuẫng	c uaang4
cuẫy	c uaay4
cuận	c uaan5
cuậng	c uaang5
cuật	c uaat5
cuậy	c uaay5
cuế	c uee1
cuếch	c ueech1
cuếnh	c ueenh1
cuề	c uee2
cuềnh	c ueenh2
cuể	c uee3
cuểnh	c ueenh3
cuễ	c uee4
cuễnh	c ueenh4
cuệ	c uee5
cuệch	c ueech5
cuệnh	c ueenh5
cuốc	c uobc1
cuối	c uobi1
cuốm	c uobm1
cuốn	c uobn1
cuống	c uobng1
cuốp	c uobp1
cuốt	c uobt1
cuồi	c uobi2
cuồm	c uobm2
cuồn	c uobn2
cuồng	c uobng2
cuổi	c uobi3
cuổm	c uobm3
cuổn	c uobn3
cuổng	c uobng3
cuỗi	c uobi4
cuỗm	c uobm4
cuỗn	c uobn4
cuỗng	c uobng4
cuộc	c uobc5
cuội	c uobi5
cuộm	c uobm5
cuộn	c uobn5
cuộng	c uobng5
cuộp	c uobp5
cuột	c uobt5
cuớ	c uow1
cuờ	c uow2
cuở	c uow3
cuỡ	c uow4
cuợ	c uow5
cuỳ	c uy2
cuỳa	c uya2
cuỳn	c uyn2
cuỳnh	c uynh2
cuỳu	c uyu2
cuỵ	c uy5
cuỵa	c uya5
cuỵch	c uych5
cuỵn	c uyn5
cuỵnh	c uynh5
cuỵp	c uyp5
cuỵt	c uyt5
cuỵu	c uyu5
cuỷ	c uy3
cuỷa	c uya3
cuỷn	c uyn3
cuỷnh	c uynh3
cuỷu	c uyu3
cuỹ	c uy4
cuỹa	c uya4
cuỹn	c uyn4
cuỹnh	c uynh4
cuỹu	c uyu4
cà	c a2
cài	c ai2
càm	c am2
càn	c an2
càng	c ang2
cành	c anh2
cào	c ao2
càu	c au2
cày	c ay2
cá	c a1
các	c ac1
cách	c ach1
cái	c ai1
cám	c am1
cán	c an1
cáng	c ang1
cánh	c anh1
cáo	c ao1
cáp	c ap1
cát	c at1
cáu	c au1
cáy	c ay1
câm	c aam
cân	c aan
câng	c aang
câu	c aau
cây	c aay
cã	c a4
cãi	c ai4
cãm	c am4
cãn	c an4
cãng	c ang4
cãnh	c anh4
cão	c ao4
cãu	c au4
cãy	c ay4
cò	c o2
còi	c oi2
còm	c om2
còn	c on2
còng	c ong2
có	c o1
cóc	c oc1
cói	c oi1
cóm	c om1
cón	c on1
cóng	c ong1
cóp	c op1
cót	c ot1
cô	c ob
côi	c obi
côm	c obm
côn	c obn
công	c obng
cõ	c o4
cõi	c oi4
cõm	c om4
cõn	c on4
cõng	c ong4
cù	c u2
cùa	c ua2
cùi	c ui2
cùm	c um2
cùn	c un2
cùng	c ung2
cú	c u1
cúa	c ua1
cúc	c uc1
cúi	c ui1
cúm	c um1
cún	c un1
cúng	c ung1
cúp	c up1
cút	c ut1
căm	c awm
căn	c awn
căng	c awng
cũ	c u4
cũa	c ua4
cũi	c ui4
cũm	c um4
cũn	c un4
cũng	c ung4
cơ	c ow
cơi	c owi
cơm	c owm
cơn	c own
cư	c uw
cưa	c uwa
cưi	c uwi
cưm	c uwm
cưn	c uwn
cưng	c uwng
cưu	c uwu
cươi	c uwowi
cươm	c uwowm
cươn	c uwown
cương	c uwowng
cươu	c uwowu
cước	c uwowc1
cưới	c uwowi1
cướm	c uwowm1
cướn	c uwown1
cướng	c uwowng1
cướp	c uwowp1
cướt	c uwowt1
cướu	c uwowu1
cười	c uwowi2
cườm	c uwowm2
cườn	c uwown2
cường	c uwowng2
cườu	c uwowu2
cưởi	c uwowi3
cưởm	c uwowm3
cưởn	c uwown3
cưởng	c uwowng3
cưởu	c uwowu3
cưỡi	c uwowi4
cưỡm	c uwowm4
cưỡn	c uwown4
cưỡng	c uwowng4
cưỡu	c uwowu4
cược	c uwowc5
cượi	c uwowi5
cượm	c uwowm5
cượn	c uwown5
cượng	c uwowng5
cượp	c uwowp5
cượt	c uwowt5
cượu	c uwowu5
cạ	c a5
cạc	c ac5
cạch	c ach5
cại	c ai5
cạm	c am5
cạn	c an5
cạng	c ang5
cạnh	c anh5
cạo	c ao5
cạp	c ap5
cạt	c at5
cạu	c au5
cạy	c ay5
cả	c a3
cải	c ai3
cảm	c am3
cản	c an3
cảng	c ang3
cảnh	c anh3
cảo	c ao3
cảu	c au3
cảy	c ay3
cấc	c aac1
cấm	c aam1
cấn	c aan1
cấng	c aang1
cấp	c aap1
cất	c aat1
cấu	c aau1
cấy	c aay1
cầm	c aam2
cần	c aan2
cầng	c aang2
cầu	c aau2
cầy	c aay2
cẩm	c aam3
cẩn	c aan3
cẩng	c aang3
cẩu	c aau3
cẩy	c aay3
cẫm	c aam4
cẫn	c aan4
cẫng	c aang4
cẫu	c aau4
cẫy	c aay4
cậc	c aac5
cậm	c aam5
cận	c aan5
cậng	c aang5
cập	c aap5
cật	c aat5
cậu	c aau5
cậy	c aay5
cắc	c awc1
cắm	c awm1
cắn	c awn1
cắng	c awng1
cắp	c awp1
cắt	c awt1
cằm	c awm2
cằn	c awn2
cằng	c awng2
cẳm	c awm3
cẳn	c awn3
cẳng	c awng3
cẵm	c awm4
cẵn	c awn4
cẵng	c awng4
cặc	c awc5
cặm	c awm5
cặn	c awn5
cặng	c awng5
cặp	c awp5
cặt	c awt5
cết	c eet1
cọ	c o5
cọc	c oc5
cọi	c oi5
cọm	c om5
cọn	c on5
cọng	c ong5
cọp	c op5
cọt	c ot5
cỏ	c o3
cỏi	c oi3
cỏm	c om3
cỏn	c on3
cỏng	c ong3
cố	c ob1
cốc	c obc1
cối	c obi1
cốm	c obm1
cốn	c obn1
cống	c obng1
cốp	c obp1
cốt	c obt1
cồ	c ob2
cồi	c obi2
cồm	c obm2
cồn	c obn2
cồng	c obng2
cổ	c ob3
cổi	c obi3
cổm	c obm3
cổn	c obn3
cổng	c obng3
cỗ	c ob4
cỗi	c obi4
cỗm	c obm4
cỗn	c obn4
cỗng	c obng4
cộ	c ob5
cộc	c obc5
cội	c obi5
cộm	c obm5
cộn	c obn5
cộng	c obng5
cộp	c obp5
cột	c obt5
cớ	c ow1
cới	c owi1
cớm	c owm1
cớn	c own1
cớp	c owp1
cớt	c owt1
cờ	c ow2
cời	c owi2
cờm	c owm2
cờn	c own2
cở	c ow3
cởi	c owi3
cởm	c owm3
cởn	c own3
cỡ	c ow4
cỡi	c owi4
cỡm	c owm4
cỡn	c own4
cợ	c ow5
cợi	c owi5
cợm	c owm5
cợn	c own5
cợp	c owp5
cợt	c owt5
cụ	c u5
cụa	c ua5
cục	c uc5
cụi	c ui5
cụm	c um5
cụn	c un5
cụng	c ung5
cụp	c up5
cụt	c ut5
củ	c u3
của	c ua3
củi	c ui3
củm	c um3
củn	c un3
củng	c ung3
cứ	c uw1
cứa	c uwa1
cức	c uwc1
cứi	c uwi1
cứm	c uwm1
cứn	c uwn1
cứng	c uwng1
cứt	c uwt1
cứu	c uwu1
cừ	c uw2
cừa	c uwa2
cừi	c uwi2
cừm	c uwm2
cừn	c uwn2
cừng	c uwng2
cừu	c uwu2
cử	c uw3
cửa	c uwa3
cửi	c uwi3
cửm	c uwm3
cửn	c uwn3
cửng	c uwng3
cửu	c uwu3
cữ	c uw4
cữa	c uwa4
cữi	c uwi4
cữm	c uwm4
cữn	c uwn4
cững	c uwng4
cữu	c uwu4
cự	c uw5
cựa	c uwa5
cực	c uwc5
cựi	c uwi5
cựm	c uwm5
cựn	c uwn5
cựng	c uwng5
cựt	c uwt5
cựu	c uwu5
da	d a
dai	d ai
dam	d am
dan	d an
dang	d ang
danh	d anh
dao	d ao
dau	d au
day	d ay
de	d e
dem	d em
den	d en
deng	d eng
deo	d eo
di	d i
dia	d ia
dim	d im
din	d in
dinh	d inh
diu	d iu
diêm	d ieem
diên	d ieen
diêng	d ieeng
diêu	d ieeu
diếc	d ieec1
diếm	d ieem1
diến	d ieen1
diếng	d ieeng1
diếp	d ieep1
diết	d ieet1
diếu	d ieeu1
diềm	d ieem2
diền	d ieen2
diềng	d ieeng2
diều	d ieeu2
diểm	d ieem3
diển	d ieen3
diểng	d ieeng3
diểu	d ieeu3
diễm	d ieem4
diễn	d ieen4
diễng	d ieeng4
diễu	d ieeu4
diệc	d ieec5
diệm	d ieem5
diện	d ieen5
diệng	d ieeng5
diệp	d ieep5
diệt	d ieet5
diệu	d ieeu5
do	d o
doa	d oa
doai	d oai
doam	d oam
doan	d oan
doang	d oang
doanh	d oanh
doao	d oao
doay	d oay
doe	d oe
doem	d oem
doen	d oen
doeo	d oeo
doi	d oi
dom	d om
don	d on
dong	d ong
doong	d oong
doà	d oa2
doài	d oai2
doàm	d oam2
doàn	d oan2
doàng	d oang2
doành	d oanh2
doào	d oao2
doày	d oay2
doá	d oa1
doác	d oac1
doách	d oach1
doái	d oai1
doám	d oam1
doán	d oan1
doáng	d oang1
doánh	d oanh1
doáo	d oao1
doáp	d oap1
doát	d oat1
doáy	d oay1
doã	d oa4
doãi	d oai4
doãm	d oam4
doãn	d oan4
doãng	d oang4
doãnh	d oanh4
doão	d oao4
doãy	d oay4
doè	d oe2
doèm	d oem2
doèn	d oen2
doèo	d oeo2
doé	d oe1
doém	d oem1
doén	d oen1
doéo	d oeo1
doét	d oet1
doòng	d oong2
doóc	d ooc1
doóng	d oong1
doõng	d oong4
doăm	d oawm
doăn	d oawn
doăng	d oawng
doạ	d oa5
doạc	d oac5
doạch	d oach5
doại	d oai5
doạm	d oam5
doạn	d oan5
doạng	d oang5
doạnh	d oanh5
doạo	d oao5
doạp	d oap5
doạt	d oat5
doạy	d oay5
doả	d oa3
doải	d oai3
doảm	d oam3
doản	d oan3
doảng	d oang3
doảnh	d oanh3
doảo	d oao3
doảy	d oay3
doắc	d oawc1
doắm	d oawm1
doắn	d oawn1
doắng	d oawng1
doắt	d oawt1
doằm	d oawm2
doằn	d oawn2
doằng	d oawng2
doẳm	d oawm3
doẳn	d oawn3
doẳng	d oawng3
doẵm	d oawm4
doẵn	d oawn4
doẵng	d oawng4
doặc	d oawc5
doặm	d oawm5
doặn	d oawn5
doặng	d oawng5
doặt	d oawt5
doẹ	d oe5
doẹm	d oem5
doẹn	d oen5
doẹo	d oeo5
doẹt	d oet5
doẻ	d oe3
doẻm	d oem3
doẻn	d oen3
doẻo	d oeo3
doẽ	d oe4
doẽm	d oem4
doẽn	d oen4
doẽo	d oeo4
doọc	d ooc5
doọng	d oong5
doỏng	d oong3
du	d u
dua	d ua
dui	d ui
dum	d um
dun	d un
dung	d ung
duy	d uy
duya	d uya
duyn	d uyn
duynh	d uynh
duyu	d uyu
duyên	d uyeen
duyến	d uyeen1
duyết	d uyeet1
duyền	d uyeen2
duyển	d uyeen3
duyễn	d uyeen4
duyện	d uyeen5
duyệt	d uyeet5
duân	d uaan
duâng	d uaang
duây	d uaay
duê	d uee
duênh	d ueenh
duôi	d uobi
duôm	d uobm
duôn	d uobn
duông	d uobng
duý	d uy1
duýa	d uya1
duých	d uych1
duýn	d uyn1
duýnh	d uynh1
duýp	d uyp1
duýt	d uyt1
duýu	d uyu1
duơ	d uow
duấn	d uaan1
duấng	d uaang1
duất	d uaat1
duấy	d uaay1
duần	d uaan2
duầng	d uaang2
duầy	d uaay2
duẩn	d uaan3
duẩng	d uaang3
duẩy	d uaay3
duẫn	d uaan4
duẫng	d uaang4
duẫy	d uaay4
duận	d uaan5
duậng	d uaang5
duật	d uaat5
duậy	d uaay5
duế	d uee1
duếch	d ueech1
duếnh	d ueenh1
duề	d uee2
duềnh	d ueenh2
duể	d uee3
duểnh	d ueenh3
duễ	d uee4
duễnh	d ueenh4
duệ	d uee5
duệch	d ueech5
duệnh	d ueenh5
duốc	d uobc1
duối	d uobi1
duốm	d uobm1
duốn	d uobn1
duống	d uobng1
duốp	d uobp1
duốt	d uobt1
duồi	d uobi2
duồm	d uobm2
duồn	d uobn2
duồng	d uobng2
duổi	d uobi3
duổm	d uobm3
duổn	d uobn3
duổng	d uobng3
duỗi	d uobi4
duỗm	d uobm4
duỗn	d uobn4
duỗng	d uobng4
duộc	d uobc5
duội	d uobi5
duộm	d uobm5
duộn	d uobn5
duộng	d uobng5
duộp	d uobp5
duột	d uobt5
duớ	d uow1
duờ	d uow2
duở	d uow3
duỡ	d uow4
duợ	d uow5
duỳ	d uy2
duỳa	d uya2
duỳn	d uyn2
duỳnh	d uynh2
duỳu	d uyu2
duỵ	d uy5
duỵa	d uya5
duỵch	d uych5
duỵn	d uyn5
duỵnh	d uynh5
duỵp	d uyp5
duỵt	d uyt5
duỵu	d uyu5
duỷ	d uy3
duỷa	d uya3
duỷn	d uyn3
duỷnh	d uynh3
duỷu	d uyu3
duỹ	d uy4
duỹa	d uya4
duỹn	d uyn4
duỹnh	d uynh4
duỹu	d uyu4
dy	d y
dà	d a2
dài	d ai2
dàm	d am2
dàn	d an2
dàng	d ang2
dành	d anh2
dào	d ao2
dàu	d au2
dày	d ay2
dá	d a1
dác	d ac1
dách	d ach1
dái	d ai1
dám	d am1
dán	d an1
dáng	d ang1
dánh	d anh1
dáo	d ao1
dáp	d ap1
dát	d at1
dáu	d au1
dáy	d ay1
dâm	d aam
dân	d aan
dâng	d aang
dâu	d aau
dây	d aay
dã	d a4
dãi	d ai4
dãm	d am4
dãn	d an4
dãng	d ang4
dãnh	d anh4
dão	d ao4
dãu	d au4
dãy	d ay4
dè	d e2
dèm	d em2
dèn	d en2
dèng	d eng2
dèo	d eo2
dé	d e1
déc	d ec1
dém	d em1
dén	d en1
déng	d eng1
déo	d eo1
dép	d ep1
dét	d et1
dê	d ee
dêm	d eem
dên	d een
dênh	d eenh
dêu	d eeu
dì	d i2
dìa	d ia2
dìm	d im2
dìn	d in2
dình	d inh2
dìu	d iu2
dí	d i1
día	d ia1
dích	d ich1
dím	d im1
dín	d in1
dính	d inh1
díp	d ip1
dít	d it1
díu	d iu1
dò	d o2
dòi	d oi2
dòm	d om2
dòn	d on2
dòng	d ong2
dó	d o1
dóa	d oa1
dóc	d oc1
dói	d oi1
dóm	d om1
dón	d on1
dóng	d ong1
dóp	d op1
dót	d ot1
dô	d ob
dôi	d obi
dôm	d obm
dôn	d obn
dông	d obng
dõ	d o4
dõi	d oi4
dõm	d om4
dõn	d on4
dõng	d ong4
dù	d u2
dùa	d ua2
dùi	d ui2
dùm	d um2
dùn	d un2
dùng	d ung2
dú	d u1
dúa	d ua1
dúc	d uc1
dúi	d ui1
dúm	d um1
dún	d un1
dúng	d ung1
dúp	d up1
dút	d ut1
dý	d y1
dăm	d awm
dăn	d awn
dăng	d awng
dĩ	d i4
dĩa	d ia4
dĩm	d im4
dĩn	d in4
dĩnh	d inh4
dĩu	d iu4
dũ	d u4
dũa	d ua4
dũi	d ui4
dũm	d um4
dũn	d un4
dũng	d ung4
dơ	d ow
dơi	d owi
dơm	d owm
dơn	d own
dơng	d owng
dư	d uw
dưa	d uwa
dưi	d uwi
dưm	d uwm
dưn	d uwn
dưng	d uwng
dưu	d uwu
dươi	d uwowi
dươm	d uwowm
dươn	d uwown
dương	d uwowng
dươu	d uwowu
dước	d uwowc1
dưới	d uwowi1
dướm	d uwowm1
dướn	d uwown1
dướng	d uwowng1
dướp	d uwowp1
dướt	d uwowt1
dướu	d uwowu1
dười	d uwowi2
dườm	d uwowm2
dườn	d uwown2
dường	d uwowng2
dườu	d uwowu2
dưởi	d uwowi3
dưởm	d uwowm3
dưởn	d uwown3
dưởng	d uwowng3
dưởu	d uwowu3
dưỡi	d uwowi4
dưỡm	d uwowm4
dưỡn	d uwown4
dưỡng	d uwowng4
dưỡu	d uwowu4
dược	d uwowc5
dượi	d uwowi5
dượm	d uwowm5
dượn	d uwown5
dượng	d uwowng5
dượp	d uwowp5
dượt	d uwowt5
dượu	d uwowu5
dạ	d a5
dạc	d ac5
dạch	d ach5
dại	d ai5
dạm	d am5
dạn	d an5
dạng	d ang5
dạnh	d anh5
dạo	d ao5
dạp	d ap5
dạt	d at5
dạu	d au5
dạy	d ay5
dả	d a3
dải	d ai3
dảm	d am3
dản	d an3
dảng	d ang3
dảnh	d anh3
dảo	d ao3
dảu	d au3
dảy	d ay3
dấc	d aac1
dấm	d aam1
dấn	d aan1
dấng	d aang1
dấp	d aap1
dất	d aat1
dấu	d aau1
dấy	d aay1
dầm	d aam2
dần	d aan2
dầng	d aang2
dầu	d aau2
dầy	d aay2
dẩm	d aam3
dẩn	d aan3
dẩng	d aang3
dẩu	d aau3
dẩy	d aay3
dẫm	d aam4
dẫn	d aan4
dẫng	d aang4
dẫu	d aau4
dẫy	d aay4
dậc	d aac5
dậm	d aam5
dận	d aan5
dậng	d aang5
dập	d aap5
dật	d aat5
dậu	d aau5
dậy	d aay5
dắc	d awc1
dắm	d awm1
dắn	d awn1
dắng	d awng1
dắp	d awp1
dắt	d awt1
dằm	d awm2
dằn	d awn2
dằng	d awng2
dẳm	d awm3
dẳn	d awn3
dẳng	d awng3
dẵm	d awm4
dẵn	d awn4
dẵng	d awng4
dặc	d awc5
dặm	d awm5
dặn	d awn5
dặng	d awng5
dặp	d awp5
dặt	d awt5
dẹ	d e5
dẹc	d ec5
dẹm	d em5
dẹn	d en5
dẹng	d eng5
dẹo	d eo5
dẹp	d ep5
dẹt	d et5
dẻ	d e3
dẻm	d em3
dẻn	d en3
dẻng	d eng3
dẻo	d eo3
dẽ	d e4
dẽm	d em4
dẽn	d en4
dẽng	d eng4
dẽo	d eo4
dế	d ee1
dếch	d eech1
dếm	d eem1
dến	d een1
dếnh	d eenh1
dếp	d eep1
dết	d eet1
dếu	d eeu1
dề	d ee2
dềm	d eem2
dền	d een2
dềnh	d eenh2
dều	d eeu2
dể	d ee3
dểm	d eem3
dển	d een3
dểnh	d eenh3
dểu	d eeu3
dễ	d ee4
dễm	d eem4
dễn	d een4
dễnh	d eenh4
dễu	d eeu4
dệ	d ee5
dệch	d eech5
dệm	d eem5
dện	d een5
dệnh	d eenh5
dệp	d eep5
dệt	d eet5
dệu	d eeu5
dỉ	d i3
dỉa	d ia3
dỉm	d im3
dỉn	d in3
dỉnh	d inh3
dỉu	d iu3
dị	d i5
dịa	d ia5
dịch	d ich5
dịm	d im5
dịn	d in5
dịnh	d inh5
dịp	d ip5
dịt	d it5
dịu	d iu5
dọ	d o5
dọa	d oa5
dọc	d oc5
dọi	d oi5
dọm	d om5
dọn	d on5
dọng	d ong5
dọp	d op5
dọt	d ot5
dỏ	d o3
dỏi	d oi3
dỏm	d om3
dỏn	d on3
dỏng	d ong3
dố	d ob1
dốc	d obc1
dối	d obi1
dốm	d obm1
dốn	d obn1
dống	d obng1
dốp	d obp1
dốt	d obt1
dồ	d ob2
dồi	d obi2
dồm	d obm2
dồn	d obn2
dồng	d obng2
dổ	d ob3
dổi	d obi3
dổm	d obm3
dổn	d obn3
dổng	d obng3
dỗ	d ob4
dỗi	d obi4
dỗm	d obm4
dỗn	d obn4
dỗng	d obng4
dộ	d ob5
dộc	d obc5
dội	d obi5
dộm	d obm5
dộn	d obn5
dộng	d obng5
dộp	d obp5
dột	d obt5
dớ	d ow1
dới	d owi1
dớm	d owm1
dớn	d own1
dớp	d owp1
dớt	d owt1
dờ	d ow2
dời	d owi2
dờm	d owm2
dờn	d own2
dở	d ow3
dởi	d owi3
dởm	d owm3
dởn	d own3
dỡ	d ow4
dỡi	d owi4
dỡm	d owm4
dỡn	d own4
dợ	d ow5
dợi	d owi5
dợm	d owm5
dợn	d own5
dợp	d owp5
dợt	d owt5
dụ	d u5
dụa	d ua5
dục	d uc5
dụi	d ui5
dụm	d um5
dụn	d un5
dụng	d ung5
dụp	d up5
dụt	d ut5
dụy	d uy5
dủ	d u3
dủa	d ua3
dủi	d ui3
dủm	d um3
dủn	d un3
dủng	d ung3
dứ	d uw1
dứa	d uwa1
dức	d uwc1
dứi	d uwi1
dứm	d uwm1
dứn	d uwn1
dứng	d uwng1
dứt	d uwt1
dứu	d uwu1
dừ	d uw2
dừa	d uwa2
dừi	d uwi2
dừm	d uwm2
dừn	d uwn2
dừng	d uwng2
dừu	d uwu2
dử	d uw3
dửa	d uwa3
dửi	d uwi3
dửm	d uwm3
dửn	d uwn3
dửng	d uwng3
dửu	d uwu3
dữ	d uw4
dữa	d uwa4
dữi	d uwi4
dữm	d uwm4
dữn	d uwn4
dững	d uwng4
dữu	d uwu4
dự	d uw5
dựa	d uwa5
dực	d uwc5
dựi	d uwi5
dựm	d uwm5
dựn	d uwn5
dựng	d uwng5
dựt	d uwt5
dựu	d uwu5
dỳ	d y2
dỵ	d y5
dỷ	d y3
dỹ	d y4
e	0 e
em	0 em
en	0 en
eng	0 eng
eo	0 eo
ga	g a
gai	g ai
gam	g am
gan	g an
gang	g ang
ganh	g anh
gao	g ao
gau	g au
gay	g ay
ge	g e
gen	g en
ghe	gh e
ghem	gh em
ghen	gh en
gheng	gh eng
gheo	gh eo
ghi	gh i
ghia	gh ia
ghim	gh im
ghin	gh in
ghinh	gh inh
ghiu	gh iu
ghiêm	gh ieem
ghiên	gh ieen
ghiêng	gh ieeng
ghiêu	gh ieeu
ghiếc	gh ieec1
ghiếm	gh ieem1
ghiến	gh ieen1
ghiếng	gh ieeng1
ghiếp	gh ieep1
ghiết	gh ieet1
ghiếu	gh ieeu1
ghiềm	gh ieem2
ghiền	gh ieen2
ghiềng	gh ieeng2
ghiều	gh ieeu2
ghiểm	gh ieem3
ghiển	gh ieen3
ghiểng	gh ieeng3
ghiểu	gh ieeu3
ghiễm	gh ieem4
ghiễn	gh ieen4
ghiễng	gh ieeng4
ghiễu	gh ieeu4
ghiệc	gh ieec5
ghiệm	gh ieem5
ghiện	gh ieen5
ghiệng	gh ieeng5
ghiệp	gh ieep5
ghiệt	gh ieet5
ghiệu	gh ieeu5
ghy	gh y
ghè	gh e2
ghèm	gh em2
ghèn	gh en2
ghèng	gh eng2
ghèo	gh eo2
ghé	gh e1
ghéc	gh ec1
ghém	gh em1
ghén	gh en1
ghéng	gh eng1
ghéo	gh eo1
ghép	gh ep1
ghét	gh et1
ghê	gh ee
ghêm	gh eem
ghên	gh een
ghênh	gh eenh
ghêu	gh eeu
ghì	gh i2
ghìa	gh ia2
ghìm	gh im2
ghìn	gh in2
ghình	gh inh2
ghìu	gh iu2
ghí	gh i1
ghía	gh ia1
ghích	gh ich1
ghím	gh im1
ghín	gh in1
ghính	gh inh1
ghíp	gh ip1
ghít	gh it1
ghíu	gh iu1
ghý	gh y1
ghĩ	gh i4
ghĩa	gh ia4
ghĩm	gh im4
ghĩn	gh in4
ghĩnh	gh inh4
ghĩu	gh iu4
ghẹ	gh e5
ghẹc	gh ec5
ghẹm	gh em5
ghẹn	gh en5
ghẹng	gh eng5
ghẹo	gh eo5
ghẹp	gh ep5
ghẹt	gh et5
ghẻ	gh e3
ghẻm	gh em3
ghẻn	gh en3
ghẻng	gh eng3
ghẻo	gh eo3
ghẽ	gh e4
ghẽm	gh em4
ghẽn	gh en4
ghẽng	gh eng4
ghẽo	gh eo4
ghế	gh ee1
ghếch	gh eech1
ghếm	gh eem1
ghến	gh een1
ghếnh	gh eenh1
ghếp	gh eep1
ghết	gh eet1
ghếu	gh eeu1
ghề	gh ee2
ghềm	gh eem2
ghền	gh een2
ghềnh	gh eenh2
ghều	gh eeu2
ghể	gh ee3
ghểm	gh eem3
ghển	gh een3
ghểnh	gh eenh3
ghểu	gh eeu3
ghễ	gh ee4
ghễm	gh eem4
ghễn	gh een4
ghễnh	gh eenh4
ghễu	gh eeu4
ghệ	gh ee5
ghệch	gh eech5
ghệm	gh eem5
ghện	gh een5
ghệnh	gh eenh5
ghệp	gh eep5
ghệt	gh eet5
ghệu	gh eeu5
ghỉ	gh i3
ghỉa	gh ia3
ghỉm	gh im3
ghỉn	gh in3
ghỉnh	gh inh3
ghỉu	gh iu3
ghị	gh i5
ghịa	gh ia5
ghịch	gh ich5
ghịm	gh im5
ghịn	gh in5
ghịnh	gh inh5
ghịp	gh ip5
ghịt	gh it5
ghịu	gh iu5
ghỳ	gh y2
ghỵ	gh y5
ghỷ	gh y3
ghỹ	gh y4
gi	gi i
gia	gi a
giai	gi ai
giam	gi am
gian	gi an
giang	gi ang
gianh	gi anh
giao	gi ao
giau	gi au
giay	gi ay
gie	gi e
giem	gi em
gien	gi en
gieng	gi eng
gieo	gi eo
gim	g im
gin	gi in
ginh	g inh
gio	gi o
gioa	gi oa
gioai	gi oai
gioam	gi oam
gioan	gi oan
gioang	gi oang
gioanh	gi oanh
gioao	gi oao
